,from_id,to_id,travel_time
1071,48060388,214,2.0
1072,48060388,290,20.0
1073,48060389,38,9.0
1074,48060389,42,24.0
1075,48060389,188,21.0
1076,48060389,214,6.0
1077,48060389,290,18.0
1078,48060390,38,11.0
1079,48060390,188,22.0
1080,48060390,214,9.0
1081,48060391,38,10.0
1082,48060391,188,17.0
1083,48060391,214,13.0
1084,48060392,42,27.0
1085,48060392,95,2.0
1086,48060392,214,34.0
1087,48060393,95,12.0
1088,48060393,258,30.0
1089,48060394,95,12.0
1090,48060394,258,26.0
1091,48060395,95,21.0
1092,48060395,113,16.0
1093,48060395,231,23.0
1094,48060395,258,21.0
1095,48060395,333,17.0
1096,48060396,95,19.0
1097,48060396,113,21.0
1098,48060396,231,29.0
1099,48060396,258,22.0
1100,48060396,333,29.0
1101,48060397,95,22.0
1102,48060397,113,11.0
1103,48060397,231,20.0
1104,48060397,258,19.0
1105,48060397,333,23.0
1106,48060398,95,25.0
1107,48060398,113,21.0
1108,48060398,231,30.0
1109,48060398,258,13.0
1110,48060398,333,31.0
1111,48060399,258,16.0
1112,48060400,95,22.0
1113,48060400,113,4.0
1114,48060400,145,27.0
1115,48060400,154,28.0
1116,48060400,231,14.0
1117,48060400,333,17.0
1118,48060401,95,27.0
1119,48060401,113,2.0
1120,48060401,145,26.0
1121,48060401,154,25.0
1122,48060401,231,11.0
1123,48060401,333,15.0
1124,48060402,95,23.0
1125,48060402,113,17.0
1126,48060402,145,20.0
1127,48060402,154,25.0
1128,48060402,231,13.0
1129,48060402,333,7.0
1130,48060403,95,28.0
1131,48060403,113,16.0
1132,48060403,145,14.0
1133,48060403,154,15.0
1134,48060403,231,6.0
1135,48060403,333,8.0
1136,48060404,113,16.0
1137,48060404,126,25.0
1138,48060404,145,19.0
1139,48060404,154,10.0
1140,48060404,231,6.0
1141,48060404,333,15.0
1142,48060405,95,23.0
1143,48060405,113,22.0
1144,48060405,126,27.0
1145,48060405,145,8.0
1146,48060405,154,18.0
1147,48060405,231,13.0
